,,,,
Кап затры,,,,
Дистилятор,"р.50 000,00",,,
Доработка,"р.20 000,00",,,
Горелка,"р.15 000,00",,,
Делительная воронка,"р.10 000,00",,,
Болер (10%),"р.2 000,00",,,
Кап стройка (и рабочая сила и материалы),"р.10 000,00",,,
Логистика,"р.15 000,00",,,
,,,,
Итого:,"р.122 000,00",,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Операционные затры,,,,
Цена срезки на 4 тонны,"р.100 000,00",,80,
,,,,
,,,,
Канистры для масла,"р.2 000,00",,,
Канистры для гидролата,"р.12 500,00",,,
Газ и эектричество и аренда,"р.30 000,00",,,
рабочая сила по срезке,"р.45 000,00",,,
ГСМ на трактор,"р.4 000,00",,,
,,,,
Технолог и менеджер проекта,"р.32 000,00",,,
,,,,
Непредвиденные расходы,"р.25 000,00",,,
,,,,
,"р.250 500,00",,,
,,,,
,,Себестоимость продукции,"р.3 131,25",на 1 кг
,,С кап затратами,"р.4 656,25",
